Language,World,Africa,Americas,Asia,Europe,Oceania,Countries
English,58,24,15,4,4,12,"India, Nigeria, Philippines, Bangladesh, United Kingdom. (See the full list) *"
French,29,21,2,-,5,1,"France, Canada, Belgium, Switzerland, Madagascar, Monaco, Haiti. (See the full list)"
Arabic,26,13,-,13,-,-,"Egypt, Sudan, Algeria, Iraq, Morocco, Saudi Arabia. (See the full list)"
Spanish,20,1,18,-,1,-,"Mexico, Spain, Colombia, Argentina. (See the full list)"
Portuguese,10,6,1,1,1,1,"Brazil, Portugal, Mozambique, Angola. (See the full list)"
German,6,-,-,-,6,-,"Germany, Austria, Switzerland, Belgium, Luxembourg, Liechtenstein"
Swahili,5,5,-,-,-,-,"Tanzania, Kenya, Uganda, Rwanda, Democratic Republic of the Congo"
Serbo-Croatian,4-5*,-,-,-,4-5*,-,"Serbia, Croatia, Bosnia and Herzegovina, Montenegro, Kosovo*"
Italian,4,-,-,-,4,-,"Italy, Switzerland, San Marino, Vatican City"
Malay based,4,-,-,4,-,-,"Indonesia (known as Indonesian), Malaysia, Singapore, Brunei"
Russian,4,-,-,2,2,-,"Russia, Kazakhstan, Belarus, Kyrgyzstan"
Yoruba,3,3,1,-,-,-,"Nigeria, Benin, Togo"
Albanian,3,-,-,-,3,-,"Albania, Kosovo*, North Macedonia"
Dutch,3,-,1,-,2,-,"Netherlands, Belgium, Suriname"
Persian,3,-,-,3,-,-,"Iran, Afghanistan (known as Dari), Tajikistan (known as Tajik)"
Quechua,3,-,3,-,-,-,"Peru, Bolivia, Ecuador"
Tamil,3,-,-,3,-,-,"Sri Lanka, Singapore, India"
Sotho,3,3,-,-,-,-,"South Africa, Lesotho, Zimbabwe"
Hindustani,3,-,-,2,-,1,"Fiji, India (known asHindi), Pakistan  (known as Urdu)"
Chinese,2-3*,-,-,2-3*,-,-,"China, Singapore, Taiwan*"
